subject_id,experiment_version,stimulus_parameter,training_image_order_parameter,seed,catk_parameter_1,catk_parameter_2,age_group,room,age_mos,age_day_count,experimenter,pilot,exclude,complete,notes,double checked init file?,
p011,exp_v1,1,1,102,1,3,7,fishbowl,90,15,JC,no,no,yes,"great appointment! kid understood the task and was hypothesizing out loud. only thing to note is that she seemed to be hypothesizing with more simple terms (i.e., i think its red apple) but when she was answering ""what do you think [label] means?"" she would give long answers. made note of this in the form!",,
p012,exp_v1,0,0,103,2,2,5,fishbowl,68,10,JC,no,no,yes,"good appointment! kid was very patient and fully understood the task, no comments!",,
p013,exp_v1,0,1,103,3,1,6,fishbowl,75,24,JC,no,no,yes,"good appointment! kid was really trying her best to get the answer right, test trial #1 took very long because she was really pondering the choices she was making. she also mentioned while picking some sampling choices like ""oh i had this for dinner"" or ""oh that's my favorite animal"" but i don't think this interfered with her sampling",,
p014,exp_v1,1,0,103,4,0,7,fishbowl,95,29,JC,no,no,yes,"super smooth appt! kid definitely understood the task, and we were able to get through the appt pretty quickly. he even started copying what i was saying since i was repeating the instructions (showing he knows what the instructions were pretty clearly) ",,
p015,exp_v1,1,1,103,5,5,8,fishbowl,101,26,JC,no,no,yes,"smooth appointment! note, on trial 3, she chose items based on color, so keep this in mind when seeing the analysis!!!!!!! also kid was definitely a bit suspicious about getting all the stickers, but that didn't hinder the task. she definitely understood it. she was also hypothesizing out loud but i just didn't address her comments. there was one task (trial 2) where she got a sticker and she was like how did i get that right? and i tried to say ""oh you just did a good job and ms. green just wanted to say thank you""--hopefully affirming ""good job"" didn't interfere with anything, she seemed to not think much about it and tried her best on every word (i.e., was still making hypotheses and exploring them). we also were able to speed through the instructions pretty quickly by the end, i was letting her tap since she got the procedure and i just made sure to hit the key phrases.",,
p016,exp_v1,0,0,104,0,3,6,fishbowl,81,2,JC,no,no,yes,"great appointment, he understood the task. no other comments b/c things went as smooth as they could!",,
p017,exp_v1,0,1,104,1,2,6,fishbowl,76,27,JC,no,no,yes,"good appointment, she understood the task, she was super cute and said bye to the aliens at the end! other than that, no comments or notes--things went well!",,
p018,exp_v1,1,0,104,2,1,5,fishbowl,66,0,JC,no,no,yes,"smooth appointment! kid was a bit shy, but didn't prevent him from participating. he brought lion stuffed toy with him from the baby lab lobby, but it didn't get in the way of the experiment. everything went smoothly, no other comments.",,
p019,exp_v1,1,1,104,3,0,8,fishbowl,97,8,JC,no,no,yes,"smooth appointment, no issues running, she very clearly understood the task. only a few points where the taps didnt register (i think the was tapping and dragging down a bit), so i just had her tap again or i would tap for her (checking that that was her intention + choice before registering the tap), but regardless, this didn't interfere with the task!",,
p020,exp_v1,0,0,105,4,5,7,fishbowl,85,26,JC,no,no,yes,"smooth appointment, seemed to get the task, no issues with running. interesting generalizing (didn't adhere to the category hierarchy we established, so sat somewhere in between) so keep an eye on that for analysis",,
p021,exp_v1,0,1,105,5,4,5,fishbowl,65,22,JC,no,no,yes,"strange but interesting appointment. mechanistically, everything went right. but i'm not fully sure the kid understood the task, or at least the test phase of the task. kid would tap on reasonable items (i.e., within category/one-level up generalizations) first, then hesitate, then tap on every single other option. so he was selecting everything during the test phases. i didn't want to interject about ""did you get all the [labels] and nothing else"" too early, but i wonder if i had said it during this hesitation would the selections have changed. this hesitation also decreased in length as the trials went on (last round, there was this same pattern of selecting reasonable choices first then just starting to click everything immediately--no hesitation). but i would only ask the did you get all the labels and nothing else question after he picked everything because he would sit and look like he was contemplating for a long time even after picking everything, but then he would immediately nod yes that he got everything so i dont know if he was even contemplating... would highly recommend looking back on the video to see this behavior. also note for the last trial, the side of his hand untapped an item when he was tapping another item during the test phase, and i asked him ""did you want to tap this?"" and he re-tapped it (completing his tapping of every single item). but his answers to ""what do you think [label] means"" were reasonable and did not match up with his test choices, so might be worth paying more attention to those...?",,
p022,exp_v1,1,0,105,0,2,7,fishbowl,91,3,JC,no,no,yes,"good appt! he definitely got the task, nothing important to note! he was hypothesizing out loud, but i just didn't react and carried on with instructions. he was also going row by row to pick images for the test, so he was definitely considering all objects images",,
p023,exp_v1,1,1,105,1,1,6,fishbowl,73,9,JC,no,no,yes,"good appt! she seemed to have a lot of fun and was laughing the whole time. she finished one of my sentences by saying ""and nothing else!"" at some point, so seems like she was following along with the instructions clearly. i think two notes about the first round, 1) she asked ""am i trying to get it right"" during the sampling phase, to which i responded ""no you can pick whatever one you want, you can just ask her if it's a [label] or not a [label]"", 2) she tapped submit on her own but it was ambiguous (looking back on the video) if she meant to tap submit or the seahorse. i asked her ""did you mean to tap on the other picture? or were you done"" and she said ""i was done""",,
p024,exp_v1,0,0,106,2,0,7,fishbowl,84,8,JC,no,no,yes,"smooth appt, no issues with running it or any instructions. he did, though, ask on the last round, ""are there more than one [label]s?"" and he had been only selecting single items during the test phase up to this point. he was also hypothesizing out loud ""oh i think this is a [label]"" during sampling. definitely will be an interesting set of data to analyze, b/c i think he was under-generalizing for a lot of it (i.e., seeing multiple fishes in training, but then not selecting the clownfish during test and only selecting a single other fish). but i do think he was taking the time to consider everything still, so wasn't an issue of not considering all items",,
p025,exp_v1,0,1,106,3,5,8,fishbowl,98,4,JC,no,no,yes,"good appt, no issues. she definitely understood the task. nothing important to note!",,
p026,exp_v1,1,0,106,4,4,5,fishbowl,69,11,JC,no,no,yes,"good appt, she seemed to get the task. she tried to ask me a few times for help during the test, and i would just say ""ms. [alien] needs your help, so pick all the [label]s and nothing else!"" she also asked at some point what picky meant, so i explained that ""it's when you want only one thing and nothing else!"" hopefully that was fine. she also seemed to be generalizing further during the test compared to what she answered to ""what do you think [label] means"", i.e., she would pick all fruit but say [label] meant ""apple""",,
p027,exp_v1.1,0,0,101,0,5,6,fishbowl,76,17,JC,no,no,yes,"good appointment, kid definitely got the task. didn't know what pepper was called but just called it a green thing and pointed at the image during the ""what do you think [label] is called"" and on the first trial, he sampled the baseball bat b/c he had t-ball practice later, so maybe don't read too much into that sampling? but good to note! for trial 5, he said ""i think it means bus"" pointed at the blue bus during sampling and said ""i think this is a [label]"" and then it wasn't one! at some point, he said i hope i get this right so i can get another sticker, and i said, you will get a sticker for just trying your best to help!",,
p028,exp_v1.1,0,1,101,1,4,8,fishbowl,104,3,JC,no,no,yes,"good appt, i think the kid might have been picking some objects to sample just because she wanted to haha, especially at the beginning. she noted that the 1-item task was trickier and harder. one trial she looked like she was done and i asked ""did you get all teh [label]s and nothing else?"" and then she decided to pick more (trial 4 i thiink), but i think that's fine!",,
p029,exp_v1.1,1,0,101,2,3,8,fishbowl,103,17,JC,no,no,yes,"good appt, kid got the task, no issues to note!",,
p030,exp_v1.1,1,1,101,3,2,6,fishbowl,78,13,JC,no,no,yes,"good appt, kid got the task, he sometimes wanted to press submit on his own, but it didn't cause any issues. he didn't know what the fish/sea creature category might be called, so he just said i dont know for that one (trial 2)",,
p031,exp_v1.1,0,0,102,4,1,8,fishbowl,96,13,JC,no,no,yes,"good appt, on first sampling task, kid asked ""do i have to pick a [label]?"" and i said ""no, you can pick any of these four items"" and then he picked the baseball bat (hypernym) and said ""i thought it would tell me what the name of this was"" and i said ""no ms [alien] will only tell you if it's a [label] or not a [label]"", i think that's probably still fine. he also sped through some of the test by pressing submit on his own, and im not super sure if he was considering all objects, but when i got him to tell me he was done and not press the submit button (around round 3 he started letting me do it), he was still picking out objects pretty quickly, so i don't think him tapping submit was a huge issue with regards to him not looking at things, i think he knew exactly what he was looking for and honed in quickly on those items in the test array",,
p032,exp_v1.1,0,1,102,5,0,5,fishbowl,63,3,JC,no,no,yes,"good appt, kid had some trouble tapping on items (was struggling to register the tap) so i tapped on some items for him after he had tried to tap the same item multiple times. he was tapping on submit before telling me he was done (up through round 2 i think), but i think when he did start telling me he was done, he was also very quick to pick things out and say ""done"" so i don't believe it was an issue that he pressed submit on his own the first 2 rounds. seems like he also didn't know the words for the subordinate level categories yet, but he recognized them, like for 3-item narrow with dalmatians, he only selected the dalmatian during test (no other dogs) but he also said the label meant dog; he did that a few times i think. round 3 was interesting b/c there were 3 vegetables for the training, but he sampled a yellow pepper and then picked out only one red pepper from the test array and said the word meant pepper.",,
p033,exp_v1.1,1,0,102,0,4,5,fishbowl,66,16,JC,no,no,yes,"good appt, kid i think got the task. he was a bit hesitant on the first few test trials, and took his time and picked more objects than the training likely implied (beyond the cateogry), but he definitely picked within category first, so good to look at that order of selection. for round 4, he said ""i forgot"" as in he had an idea about what the [label] meant and forgot the word; at some point, he made a ""p"" sound, but didn't get further than that (so i think he understood it as peppers, but probably shouldn't assume)",,
p034,exp_v1.1,1,1,102,1,3,7,fishbowl,94,20,JC,no,no,yes,"good appt, kid got the task, had some longer answers to the ""what does [label] mean"" question, other than that, no procedural notes. camera view 3 was askew during the task, so we didn't get that angle",,
p035,exp_v1.1,0,0,103,2,2,7,fishbowl,85,11,JC,no,no,yes,"good appt, procdurally smooth, kid asked me at some point ""what happens if i get something that's not a [label]"" and i said ""you just have to try your best to get all the [label]s and nothing else"". kid also seemed to be selecting the whole category for a lot of the trials, even if the training implied a lower level (i.e., all dalmatians, and he would pick all animals). on round 4, he was saying ""fruits"" about what the word meant, but during the question answering, he said ""type of food"" (noted this in the form), same thing with round 6 ""fish"" and then ""type of animal that's alive in the water""",,
p036,exp_v1.1,0,1,103,3,1,6,fishbowl,74,11,JC,no,no,yes,"smooth appt, no issues. tapping was a bit hard for the kid (taps wouldn't register), so i assisted in tapping but always by confirming that he wanted to tap something. dad sat in for appt out of curiousity, but it didn't distract kid at all.",,
p037,exp_v1.1,1,0,103,4,0,8,fishbowl,96,23,JC,no,no,yes,"good appt, kid was very engaged and definitely understood the task. he was hypothesizing out loud about a lot of things. only thing to note is that on round 3, he couldn't decide if the label meant school bus or yellow bus, and so he picked the basic-level bus during test, but still definitely had some sort of more-narrow-than-basic hypothesis. he answered ""yellow bus"" to the what does [label] mean question at first, but he seemed hesitant so he added ""or maybe bus"" after",,
p038,exp_v1.1,1,1,103,5,5,7,fishbowl,87,30,JC,no,no,yes,"great appt, kid was very engaged and the procedure went very very smoothly, no issues to note!",,
p039,exp_v1.1,0,0,104,0,3,8,fishbowl,101,23,JC,no,no,yes,"good appt, kid got the task, but on the first sampling task, he picked an image and then said, wait im confused, and i told him we can just move forward and i re-explained the sampling task for the second round and checked that he got what i was saying, to which he said yes; he liked to tap a lot, but i dont think it disrupted anything, and i just kept encouraging ""hands on the mat!""",,
p040,exp_v1.1,0,1,104,1,2,6,fishbowl,74,8,JC,no,no,yes,"good appt, kid i think got the task, he really liked to tap so there were a few test phases where he sped through and just hit submit, but his choices made sense with what he was hypothesizing out loud, so there was likely no issue with him speeding through. there was one round, round 3, where he sped through so quickly he skipped our check label task, but he still told me what he thought the word meant (i just asked during the rocket image, before we go back to space and get the sticker). after this, i had to move the ipad away from him and start blocking him from pressing submit, and he apologized because he said he just kept forgetting. important note about round 2, he was asking about the tennis racket, and his sentence wasn't quite making sense, but i just kept repeating that the alien wants all the [label]s and nothing else, and then he only picked the basketballs (despite hypothesizing that it was sports b/c of the training items)--then on the check label task, he said ""basketball, wait no sports"" so that might be important to consider when analyzing test choices VS hypothesized meanings, especially b/c often times kids hypothesized meanings are not narrow enough b/c they don't know the word like dalmatian, but in this case he was just confused and knew sports item VS basketball and chose to change to the more broad word.",,
p041,exp_v1.1,1,0,104,2,1,5,fishbowl,69,7,JC,no,no,yes,"good appt, kid was definitely tricky though, he kept wanting to test out what happened if he got something wrong, but i think i deterred that for most of the rounds EXCEPT ROUND 5; i think he tapped submit too quickly for me to stop him and didn't fully try on that round. usually, i would just ask him ""do you think that's  a [label]"" when he was being mischevious, and he would go ""no"" while making an evil laughing face, and i would say, would you please select all [label]s and nothing else?",,
p042,exp_v1.1,1,1,104,3,0,5,fishbowl,69,7,JC,no,no,yes,"good appt, kid understood the task, no issues in running this appt! i think for round 4, she was only picking green peppers, but she said the label meant vegetable, might be an issue of not knowing the English word for it",,
p043,exp_v1.1,0,0,105,4,5,6,fishbowl,74,15,JC,no,no,yes,"such a strange appt, kid might not have understood the task, was picking so many things (usually everything except one object), and then generalizing based on shape (like the actual shape of the image, the square) and then said some other words like house and table? i was just so confused the whole time. on the last round, she ended up saying the word meant fish, but during test she picked way more than just the fishes. mom also sat in for appt but didn't distract from appt",,
p044,exp_v1.1,0,1,105,5,4,7,fishbowl,94,5,JC,no,no,yes,"good appt, kid got the task, didn't have any issues! nothing notable to report",,
p045,exp_v1.1,1,0,105,0,2,5,fishbowl,66,22,JC,no,no,yes,"good appt, kid got the task and was good at focusing and taking turns with tapping, only thing to note was that she sampled the cat on the 5th round because she said she had a cat just like that one",y,
p046,exp_v1.1,1,1,105,1,1,7,fishbowl,84,3,JC,no,no,yes,"good appt, kid got the task. taps were not registering (kid-related issue), so i had to tap for him at times. he eventually learned how to get his taps to register though. other than that no issues with procedure. on demographics survey, mom accidentally put age as 5, so note that that should be 7; mom sat in but did not distract",y,
p047,exp_v1.1,0,0,106,2,0,5,fishbowl,60,28,JC,no,no,yes,"good appt, kid got the task, he was veyr shy though so he didn't give any verbal responses to the ""what do you think [label] means?"" tasks, so i just noted that he shrugged and responded i don't know (via a nod to my ask ""nod if you don't know""). he also did not repeat the alien words, but that didn't prevent him from not paying attention, he definitely showed his attention so all okay procedurally; mom sat in but did not distract",y,
p048,exp_v1.1,0,1,106,3,5,7,fishbowl,86,18,JC,no,no,yes,"good appt, super cute kid, super engaged and attentive, only note is that at some point she asked what happens if you don't get everything ms. purple wants, and i just said ""you just have to do your best to help her and you'll get a sticker"" and she accepted that answer with a ""yay!""",y,
p049,exp_v1.1,1,0,106,4,4,7,fishbowl,86,18,JC,no,no,yes,"good appt, very engaged kid. on round 2's sampling phase, kid tried to sample basic-level bus, but taps didnt register, and by the time the tap was registered, he changed his mind to the sub-level bus. demographics swapped with p050",y,
p050,exp_v1.1,1,1,106,5,3,5,fishbowl,66,14,JC,no,no,yes,"good appt, he got the task, and was able to speed it up at his own pace by tapping continue and repeating training labels every time--and that didn't disrupt from the procedure at all. kept trying to look at me to get hints on things, but i just told him to try his best and avoided giving him any affect-based clues. demographics swapped with p049",y,
p051,exp_v1.1,0,0,107,0,1,8,fishbowl,97,5,JC,no,no,yes,"super smooth appt, kid definitely got the task and we were able to complete it quickly without any bumps in the road. he did mention once ""i bet it'll always be two"" referring to there always being 2 test image choices, so it might have affected his last trial, where he didn't generalize to all sea creatures despite being trained on the broad sea creature condition--BUT that's just a hypothesis, don't want to read into that too much!",,
p052,exp_v1.1,0,1,107,1,0,7,fishbowl,92,3,JC,no,no,yes,"great appointment, kid definitely got the task, was very easy to run. only thing to note was that on round 4 she said ""apple"" first then changed her mind to ""red apple"" (already noted that in label meaning log)",,
p053,exp_v1.1,1,0,107,2,5,8,fishbowl,103,30,JC,no,no,yes,"good appt, kid got the task, was pretty easy to breeze through. after the first sampling task, he asked ""do i need to pick a [label]"" and i said ""you can pick any of the four options there were!"" and at some point he asked ""does it get harder and harder?"" and i said ""i dont know! the game changes every time i play it"" which maybe wasn't the best answer, but he didn't seem to think much about that and we just kept playing",,
p054,exp_v1.1,1,1,107,3,4,5,fishbowl,69,28,JC,no,no,yes,"good appt, nothing super important to note, kid got the task. a few times she dropped the marker, and i had to pause and restart instructions when i had her attention again, but that didn't seem to disrupt anything. on a few rounds, she would pick all but one thing in a category (i.e., she generalized to ""living in the sea"" and picked all the sea creatures except one fish, but i wasn't sure if she missed it or she just didn't recognize it as a sea creature--she was telling me she was done and i would hit submit consistently, so it wasn't an issue of her speeding through it too quickly? i dont know, and its minor but just wanted to note it!",,
p055,exp_v1.1,0,0,108,4,3,8,fishbowl,98,14,JC,no,no,yes,"good appt! kid got the task, only thing to really note is that on the first sampling task she picked the cat image (hypernym) because she really likes cats (what she said). that led to the hypernym also being a [label] and so she was confused, but her generalizing patterns made sense, like there was logic and soundness to her choices, so she still got the task; just saying it was a sampling choice not motivated by learning but by image saliency",,
p056,exp_v1.1,0,1,108,5,2,5,fishbowl,63,10,JC,no,no,yes,"interesting appt....... kid didn't really seem to get the task. was struggling to tap, so the first round i was confused as to if he was tapping everything or not (b/c he tried to tap everything but not all the taps registered, some items were left unselected), and so i went through every item and asked ""do you think this is a [label]?"" and he would answer yes or no, and he saId no to some items. but then, we did the rest of the rounds letting him review all the images himself, and he tapped everything (maybe occasionally missing one item but due to a tap mistake, like not registering or double tapping which unselect the item then). sampling choices also didn't really make sense, but i couldn't read into those that much. most interestingly, his answers to ""what do you think [label] means?"" were pretty strange, a lot of texture related things like ""hard"" (repeated multiple times), ""fluffy"", and ""squishy"". also, mom mentioned during demographic survey something about language development delay or therapy or something like that, and i told her to just mention it in the survey, so good to look back at that!!!!!!!",,
p057,exp_v1.1,1,0,108,0,0,6,fishbowl,75,6,JC,no,no,yes,"good appt, kid seemed to be sampling without much of a pattern, but wasn't an issue. dad sat in during appt and didn't disrupt, though he did leave halfway through, but it was at a good point between aliens (between Item Blocks). kid also didn't want to answer what she thought the labels meant, kept saying i dont know, so i urged her to give her best shot, but sometimes she just wouldn't say anything.",y,
p058,exp_v1.1,1,1,108,1,5,6,fishbowl,76,14,JC,no,no,yes,"good appointment, great family, kid was very enthusiastic but very controlled (i.e., didn't need to use mat); only thing to note was on round 3 i asked him if he was done, and he said yes, and i hit submit but then he went ""oh--"" and i asked ""were you done?"" and he went ""oh yep!""; everything else was good!",,
p059,exp_v1.1,0,0,109,2,4,8,fishbowl,107,9,JC,no,no,yes,"good appt, kid got the task; he really liked elaborating on what does this label mean questions, so answers are long; otherwise, nothing to really note!",,
p060,exp_v1.1,0,1,109,3,3,5,fishbowl,66,1,JC,no,no,yes,"good appt, kid was a bit energetic, but we got through it. she would run off out of her seat for a bit, but i would get her back. regardless, she still understood the instructions (was getting a bit patient with me explaining them over and over). she also wanted to tap a lot, so i was flexible and let her at points, and it didn't disrupt the experiment--but i did at times have to pull the ipad away from her to keep her from tapping. she was like crawling to get to it at times, but distance was my best friend. oh and she licked me at the very beginning of the game...... okay one more important thing, she said she was sampling to pick the things that were specifically not [label]s (i.e., not beppos, not tibbles); when i said ""it looks like thats not a beppo"" she said ""yeah i know i want to press the ones that are not beppos""",,
p061,exp_v1.1,1,0,109,4,2,8,fishbowl,101,14,JC,no,no,yes,"good appt, kid didn't seem very enthusiastic but he still got the task. only other thing to note was that he would say one possible word meaning and then say things like ""or people might call it ___""; oh also he asked why her name is ms green since that's in a human langauge and i just said, that's ""what i call her""",,
p062,exp_v1.1,1,1,109,5,1,6,fishbowl,79,6,JC,no,no,yes,"good appt, kid got the task. she did press submit on her own on the first round, so on the second trial, when she said she was done, i accidentally said ""perfect"" with regards to her telling me she was done, but it might have come off as ""you picked everything correctly""--but really i dont think it affected any other choices she made. another thing was that after the second round, she wanted to review what she learned, and it might have reinforced her learning that ""sibu"" meant ""fruit"" (what she hypothesized); what this led to on the third round was her sampling the strawberry (hypernym) because she was implying since she already learned the word for the strawberry, this new word could not apply to the strawberry too. those were the two main things to note, but some other notes: she answered round 5's label meaning question in spanish (chile instead of chili) and then couldn't think of the word in English; she picked a broccoli because she said this is definitely not a roozer, but she accomodated the meaning well; on round 6, she hypothesized after sampling that the word meant dogs, but then after the test she extended her hypothesis to home pets; we took longer breaks to color the sticker checklist with different marker colors, but that didn't disrupt from the procedure; and lastly, on round six she sped through on her own, pressing submit and skipping check label without slowing down, so i had to ask what she thought the label meant without the reminder pictures, but i think she figured it out?",,
p063,exp_v1.1,0,0,110,0,5,8,fishbowl,100,21,JC,no,no,yes,"good appt, kid was very calm, no issues to note; he definitely got the task",,
p064,exp_v1.1,0,1,110,1,4,6,fishbowl,80,22,JC,no,no,yes,"good appt, kid got the task. mom sat in, but this didn't disrupt the procedure at all. only thing to note was that kid was carrying word labels across trials (e.g., during round 5 sampling, he pointed at a vehicle, which he had hypothesized in round 4 was labeled by tibble, and said that's a tibble; this didn't disrupt anything, but interesting to note)",,
p065,exp_v1.1,1,0,110,2,3,8,fishbowl,98,19,JC,no,no,yes,"super quick and easy appt, kid definitely got the task, to the point where she could click more buttons and just pace herself (obviously, i monitored to prevent any speeding through, but she was good about just pausing when i was talking and clicking when she knew it was her turn, like with learning during training); i also didn't have to repeat all my instructions every time, since she seemed to get it and just wanted to get through the task, so me being more brief on instructions didn't cause any issues. some minor things to note, she was generalizing to the superordinate level at times based on her response to word meaning, but she wasn't picking all the sup items in test; also, for the word meaning when she was trained on 3 basketballs (and she sampled a basketball), she said ""bas-"" and then changed to ""soccer ball""",,
p066,exp_v1.1,1,1,110,3,2,7,fishbowl,87,6,JC,no,no,yes,"great appt, nothing key to note, procedure was very smooth; only 2 minor things to comment on, 1) she was generalizing to sup meanings but only picking at lower levels, just interesting! 2) on round 5, she looked at me after to almost ask for confirmation and i said ""did you get all the [label]s and nothing else"" and she then said yeah",,
p067,exp_v1.1,0,0,111,4,1,6,fishbowl,76,3,JC,no,no,yes,"good appt, kid was a bit shy but he got the task. on the first round, in response to the what does the label mean question, he was silent and just didn't say anything, so i asked him if he had a guess or if he didn't know, and he said i dont know. mom sat in and her phone made some noises at times but it didn't seem to distract the kid. ",,
p068,exp_v1.1,0,1,111,5,0,5,fishbowl,63,4,JC,no,no,yes,"good appt, kid was very engaged and understood the task, nothing to note about procedure! parents sat in camera room during and listened in, so there were small instances where sound passed through the walls but it was so minor i think only i noticed it; kid was very focused anyway on the task!",,
p069,exp_v1.1,1,0,111,0,4,7,fishbowl,92,21,JC,no,no,yes,"great appt, kid was very attentive. things to note: 1) on round three, she was hypothesizing during test about the word meaning, like if it meant ""all apples"" and tried to ask me and i told her to try her best. 2) on round 4, she said ""that was easy"" after being trained on 3 dalmatians and sampling 1 dalmatian, so very much suspicious coincidencce effect-y. 3) during the final round, she was carrying over information from rounds 4 and 5 during test, pointing at objects and saying ""that's a [label]"" and ""that's [another label]"", but it didn't seem to distract from the round at hand; she was just making observations!",,
p070,exp_v1.1,1,1,111,1,3,5,fishbowl,68,13,JC,no,no,yes,"good appt, interesting b/c kid was verbally labeling things as [label] or not a [label] during sampling, so it was interesting to see him picking a lot of things that he said he already knew were not [label]s. on round 3, he tried to sample a green apple and the touch didn't register, and then he decided to sample the octopus (hypernym) instead and that touch registered. on round 5, he sampled a hypernym cat and it came back as not a [label] but then during word meaning response, he said the word meant ""dog, or a cat, or a rabbit or a pet"" and during test he had picked all the animals anyway, instead of the training category... strange lol. oh and he sampled the baseball bat (hypernym) on the last round and said ""i like baseball bats""",,
p071,exp_v1.1,0,0,112,2,2,7,fishbowl,90,15,JC,no,no,yes,"good, smooth appt. no issues and the only thing to note is kid said ""i'm just looking at the picture and naming what it is"" during the round 2 ""what does [label] mean"" part",,
